ID,1930,1940,1950,1960,1970,1980,1990,2000,2010
64,0,0,0,0,  671 ,  916 ,"  1,615 ","  4,688 ","  10,484 "
65,0,0,0,0,  144 ,  599 ,"  2,519 ","  15,179 ","  26,669 "
66,0,0,0,0,  522 ,"  4,940 ","  14,549 ","  21,534 ","  25,141 "
67,0,0,0,0,"  1,977 ",  686 ,  331 ,  459 ,  774 
68,0,0,0,0,"  1,740 ",  497 ,  231 ,  347 ,  325 
69,0,0,0,0,  501 ,  266 ,  189 ,  276 ,  388 
70,0,0,0,0,  578 ,  905 ,"  2,331 ","  6,674 ","  15,132 "
71,0,0,0,0,  909 ,  463 ,  204 ,  347 ,  459 
72,0,0,0,0,  122 ,  308 ,  393 ,  643 ,  915 
73,0,0,0,0,  570 ,  177 ,  140 ,  231 ,  258 
74,0,0,0,0,  57 ,  154 ,  362 ,  723 ,"  1,382 "
75,0,0,0,0,  176 ,  280 ,  340 ,  533 ,  619 
76,0,0,0,0,  140 ,  288 ,  519 ,  773 ,"  1,212 "
77,0,0,0,0,"  4,859 ","  7,805 ","  10,567 ","  12,176 ","  9,318 "
